10:54:12.112 [main] INFO  c.xxs.TliasWebManagementApplication - Starting TliasWebManagementApplication using Java 17.0.12 with PID 846180 (C:\arsenal\study\java\Tlias\Tlias-web-management\target\classes started by xiaoxiaosui in C:\arsenal\study\java\Tlias)
10:54:12.113 [main] INFO  c.xxs.TliasWebManagementApplication - No active profile set, falling back to 1 default profile: "default"
10:54:12.815 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
10:54:12.824 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
10:54:12.825 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:54:12.825 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.46]
10:54:12.853 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:54:12.853 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 711 ms
10:54:13.170 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
10:54:13.183 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
10:54:13.188 [main] INFO  c.xxs.TliasWebManagementApplication - Started TliasWebManagementApplication in 1.407 seconds (process running for 2.017)
10:54:38.258 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:54:38.258 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
10:54:38.258 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
10:54:38.285 [http-nio-8080-exec-2] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
10:54:38.298 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
10:54:38.583 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@18a1d80e
10:54:38.585 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
10:54:40.177 [http-nio-8080-exec-3] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
10:54:45.842 [http-nio-8080-exec-8] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
10:54:46.207 [http-nio-8080-exec-9] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
10:54:49.551 [http-nio-8080-exec-6] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
11:00:54.611 [http-nio-8080-exec-9] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
11:00:55.428 [http-nio-8080-exec-2] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
11:00:56.388 [http-nio-8080-exec-1] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
22:25:11.598 [http-nio-8080-exec-4] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
