13:50:41.979 [main] INFO  c.xxs.TliasWebManagementApplication - Starting TliasWebManagementApplication using Java 17.0.12 with PID 184208 (C:\arsenal\study\java\Tlias\Tlias-web-management\target\classes started by xiaoxiaosui in C:\arsenal\study\java\Tlias)
13:50:41.981 [main] INFO  c.xxs.TliasWebManagementApplication - No active profile set, falling back to 1 default profile: "default"
13:50:42.576 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
13:50:42.579 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
13:50:42.603 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
13:50:43.137 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
13:50:43.147 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
13:50:43.148 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:50:43.148 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.46]
13:50:43.191 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:50:43.191 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1180 ms
13:50:44.069 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
13:50:44.084 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
13:50:44.091 [main] INFO  c.xxs.TliasWebManagementApplication - Started TliasWebManagementApplication in 2.476 seconds (process running for 3.749)
13:50:47.278 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:50:47.278 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:50:47.279 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
13:50:47.309 [http-nio-8080-exec-1] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
13:50:47.329 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13:50:47.692 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5bc3be7e
13:50:47.694 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13:50:53.592 [http-nio-8080-exec-2] INFO  com.xxs.controller.DeptController - 根据ID查询部门：1
13:50:56.367 [http-nio-8080-exec-3] INFO  com.xxs.controller.DeptController - 修改部门：Dept(id=1, name=学工部1, createTime=2025-10-22T12:56:53, updateTime=2025-10-23T09:51:53)
13:50:56.395 [http-nio-8080-exec-4] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
13:51:05.922 [http-nio-8080-exec-5] INFO  com.xxs.controller.DeptController - 根据ID查询部门：1
13:51:09.008 [http-nio-8080-exec-6] INFO  com.xxs.controller.DeptController - 修改部门：Dept(id=1, name=学工部, createTime=2025-10-22T12:56:53, updateTime=2025-11-24T13:50:56)
13:51:09.040 [http-nio-8080-exec-7] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
13:51:10.316 [http-nio-8080-exec-9] INFO  com.xxs.controller.DeptController - 查询全部的部门数据
